MLS #,Status,Price,Address,City,Property Type,Beds,Baths,Square Footage,Lot Size,Price per/Sqft,Favorite,Utilities
"6823343","Coming Soon - Jan 2","$849,900","61 4th Avenue N #101","Minneapolis","Townhouse",3,4,"2,178 sqft","6.044 acres","$390","","- -"
"6825203","Coming Soon - Jan 2","$359,900","18893 97th Place N","Maple Grove","Townhouse",3,2,"1,569 sqft","0.312 acres","$229","","- -"
"7000985","Coming Soon - Jan 9","$2,300,000","- -","Edina","Single Family Residence",6,7,"6,087 sqft","0.44 acres","$378","","- -"
"7001346","Coming Soon - Jan 1","$250,000","6600 Lyndale Avenue S #400","Richfield","Condominium",2,2,"1,202 sqft","4.08 acres","$208","","- -"
"7000993","Coming Soon - Jan 3","$399,900","4525 Walnut Street","Maple Plain","Single Family Residence",2,2,"1,720 sqft","0.28 acres","$233","","- -"
"7000971","Coming Soon - Jan 2","$390,000","2824 Kenwood Isles Drive","Minneapolis","Townhouse",2,2,"1,480 sqft","3.21 acres","$264","","- -"
"7000637","Coming Soon - Jan 5","$495,000","5424 3rd Avenue S","Minneapolis","Single Family Residence",4,2,"1,858 sqft","0.15 acres","$266","","- -"
"7000523","Coming Soon - Jan 6","$535,000","17775 Valley Cove Court","Minnetonka","Townhouse",3,3,"2,430 sqft","0.05 acres","$220","","- -"
"6823988","Coming Soon - Jan 5","$435,000","5238 34th Avenue S","Minneapolis","Single Family Residence",4,2,"2,020 sqft","0.14 acres","$215","","- -"
"6826657","Coming Soon - Jan 2","$375,000","3033 Longfellow Road","Mound","Single Family Residence",3,1,"1,656 sqft","0.15 acres","$226","","- -"
"6817815","Coming Soon - Jan 2","$480,000","2500 16th Avenue S","Minneapolis","- -",11,4,"3,757 sqft","0.148 acres","$128","","- -"
